name,GS,MP,PER,OWS,DWS,OBPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,STL,TOV,PTS
curry18,16,534,28.4,2.3,0.5,9.8,1.3,160,312,84,168,76,144,69,74,75,93,17,51,473
curry14,80,2613,28,11.5,4.1,9.6,7.9,653,1341,286,646,367,695,308,337,285,619,163,249,1900
